All traffic signals,,,,,,,,,,,Location,Latitude,,,,,,,,,,
PX,GUNNS RD,Mid Block,Side 1,Side 2,Private Access,Additional Info,Geo ID,Node ID,X,Y,Latitude,Longitude,Activation Date,Signal System,Non system,Mode of Control,Pedestrian Walk speed,APS,Transit Preempt,Fire preempt,Rail preempt,No. of Signalized Approaches
571,STRACHAN AVE,,FLEET ST,MANITOBA DR,,,7560868,13468621,312075.709,4832705.646,43.63627,-79.40961,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,1,,,4
572,CHURCH ST,,ISABELLA ST,,,,1142540,13463778,314295.64,4836273.92,43.66835,-79.38203,00:00.0,SCOOT,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
573,PARKSIDE DR,,HIGH PARK BLVD,,,,1146581,13467698,308313.34,4833661.42,43.64493,-79.45626,00:00.0,MTSS,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
574,PARKSIDE DR,,HOWARD PARK AVE,,,,1145863,13467129,308188.1026,4834077.397,43.64866,-79.45778,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
575,KEELE ST,,GLENLAKE AVE,,,,8004961,13465564,307890.223,4835152.49,43.65832,-79.4615,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
576,KEELE ST,,ANNETTE ST,,,,14014792,13464716,307703.306,4835746.443,43.66366,-79.46375,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,1,,4
577,WESTON RD,,BLACK CREEK DR,HUMBER BLVD,,,8761,13461391,306371.89,4837934.99,43.68338,-79.48029,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
578,WESTON RD,,LAMBTON AVE,,,,9531839,13461238,306074.1099,4838031.642,43.68426,-79.48401,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,1,,4
579,WESTON RD,,RAY AVE,,,,9879233,13460444,305250.5133,4838523.489,43.68867,-79.49417,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
580,WESTON RD,,DENISON RD E,DENISON RD W,,,7155172,13459076,304123.2498,4839365.69,43.69624,-79.50817,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
581,WESTON RD,,JOHN ST,,,,11226754,13458304,303350.2614,4839850.553,43.70063,-79.51777,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
582,WESTON RD,,LITTLE AVE,ELSMERE AVE,,,11226917,13458241,303220.1595,4839899.254,43.70105,-79.51944,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
583,WESTON RD,,CHURCH ST,,,,9949745,13457985,302733.27,4840118.08,43.70304,-79.52536,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
584,WESTON RD,,ST PHILLIPS RD,,,,10179986,13457446,302173.9357,4840482.801,43.70635,-79.53229,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
585,WESTON RD,,401 C E WESTON RD RAMP,,,HWY 401 SOUTH INTERSECTION,445968,13456568,301926.3538,4841102.329,43.71188,-79.53545,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
586,WESTON RD,,401 C W WESTON RD RAMP,,,HWY 401 NORTH INTERSECTION,445765,13456094,301828.81,4841428.73,43.71483,-79.53665,00:00.0,,TEMPORARY,SAV,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,3
587,ALBION RD,,WESTON RD,WALSH AVE,,,445354,13455715,301779.3732,4841675.578,43.71697122,-79.53748681,00:00.0,TransSuite,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,3
588,WESTON RD,,SHEPPARD AVE W,,,,443669,13453198,301704.679,4843533.444,43.73376,-79.53824,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
589,WESTON RD,,FINCH AVE W,,,,441606,13450342,301371.36,4845571.39,43.7521,-79.54242,00:00.0,MTSS,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,1,,4
590,KEELE ST,,DONALD AVE,,,,8128677,13461074,306976.12,4838107.93,43.68493,-79.47278,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
591,KEELE ST,,BEECHBOROUGH AVE,,,,7838,13459367,306813.968,4839156.889,43.69436,-79.47479,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
592,KEELE ST,,GULLIVER RD,INGRAM DR,,,9085067,13458419,306722.251,4839714.362,43.69945,-79.47595,00:00.0,TransSuite,,SAP,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
593,KEELE ST,,FLAMBOROUGH DR,DENSLEY AVE,,,446499,0,306654.754,4840110.139,43.70293,-79.47673,00:00.0,TransSuite,,SA2,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
594,KEELE ST,,MAPLE LEAF DR,,,,9487156,13455973,306438.53,4841427.2,43.7148,-79.47942,00:00.0,TransSuite,,SA2,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
595,KEELE ST,,401 C E KEELE ST RAMP,,,HWY 401 SOUTH INTERSECTION,444846,13454953,306322.9092,4842132.676,43.72122,-79.4809,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
596,KEELE ST,,401 C W KEELE ST RAMP,KEELE ST S 401 C W RAMP,,HWY 401 NORTH INTERSECTION,444806,13454472,306267.496,4842499.222,43.724385,-79.481597,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
597,KEELE ST,,WILSON AVE,,,,10133796,13454197,306228.5212,4842743.634,43.726702,-79.482042,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
598,KEELE ST,,TILBURY DR,PRIVATE ACCESS,,,10142909,13453646,306155.46,4843154.65,43.7303393,-79.482902,00:00.0,TransSuite,,SA2,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,0,,4
599,KEELE ST,,CALVINGTON DR,,,,10144822,13453125,306094.984,4843514.307,43.733587,-79.48367,00:00.0,TransSuite,,SA2,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,3
600,KEELE ST,,SHEPPARD AVE W,,,,10133019,13451388,305875.45,4844758.17,43.7447866,-79.486324,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
601,FINCH AVE W,,KEELE ST,,,,439769,13448570,305504.7,4846838.34,43.7634806,-79.490976,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,1,,4
602,STEELES AVE W,,KEELE ST,,,,2286559,13446042,305226.5075,4848846.578,43.781523,-79.494495,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
603,AVENUE RD,,HEATH ST W,,,,1139499,13460197,312657.38,4838535.12,43.6887347,-79.402311,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
604,O CONNOR DR,40m SOUTH OF,WAKUNDA PL,,,,14173565,0,320492.4821,4841537.096,43.71562,-79.305035,00:00.0,TransSuite,,PED,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,2
605,COLLEGE ST,,DUFFERIN ST,,,,1145245,13466425,310224.06,4834516.34,43.6525538,-79.432536,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,4
606,DUFFERIN ST,72m NORTH OF,SYLVAN AVE,PRIVATE ACCESS,DUFFERIN PLAZA EAST ENTRANCE,,5868581,0,310142.44,4834810,43.6552105,-79.433568,00:00.0,MTSS,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,3
607,DUFFERIN ST,,HALLAM ST,,,,10313040,13464313,309790.39,4835991.59,43.6658286,-79.437886,00:00.0,Awaiting TransSuite Control,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,1,,3
608,DUFFERIN ST,,DUPONT ST,,,,8416915,13463882,309700.51,4836281.89,43.6684721,-79.439014,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,1,,4
609,DUFFERIN ST,,HOPE ST,,,,9779798,13461488,309231.03,4837826.22,43.6823708,-79.444848,00:00.0,MTSS,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,3
610,DUFFERIN ST,,ROGERS RD,,,,8612,13460901,309128.2,4838181.4,43.6855558,-79.446104,00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,4
611,DUFFERIN ST,,HOLMESDALE RD,MARTIN ST,,,9781127,0,309024.658,4838527.305,43.688628,-79.447385,00:00.0,MTSS,,SAP,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,1,,,4
612,DUFFERIN ST,,CASTLEFIELD AVE,,,,9655737,13458159,308671.75,4839868.68,43.7007517,-79.451768,00:00.0,MTSS,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,4
613,DUFFERIN ST,,GLENCAIRN AVE,,,,446360,13457150,308557.53,4840560.32,43.7070021,-79.453212,00:00.0,MTSS,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
614,DUFFERIN ST,,ORFUS RD,,,,10851689,13455007,308315.61,4842057.69,43.720449,-79.456104,00:00.0,MTSS,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,3
615,DUFFERIN ST,,BENTWORTH AVE,RANEE AVE,,,10851754,13454825,308293.468,4842201.258,43.7217507,-79.456413,00:00.0,MTSS,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,4
616,DUFFERIN ST,,BRIDGELAND AVE,YORKDALE RD,,,444135,13454098,308195.9424,4842783.521,43.7269726,-79.457655,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,4
617,WILSON AVE,,DUFFERIN ST,,,,443495,13453281,308093.71,4843349.66,43.7320807,-79.458897,00:00.0,MTSS,,SAP on Recall,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,1,,4
618,DUFFERIN ST,,FINCH AVE W,,,,439056,13447779,307446.97,4847433.2,43.7688703,-79.466898,00:00.0,Awaiting TransSuite Control,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
619,STEELES AVE W,,DUFFERIN ST,,,,3327208,13445306,307191.6625,4849480.722,43.7872672,-79.470123,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
620,DON MILLS RD,,OVERLEA BLVD,GATEWAY BLVD,,,446012,13456414,318129.98,4840907.38,43.7099841,-79.334385,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
621,DON MILLS RD,,ST DENNIS DR,,ONTARIO SCIENCE CENTRE,,445346,13455359,317893.12,4841635.36,43.7165457,-79.337275,00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
622,REXDALE BLVD,,QUEENS PLATE DR,PRIVATE ACCESS,WOODBINE RACE TRACK,WEST INTERSECTION,907873,13455506,296447.94,4841917,43.7191909,-79.60347,00:00.0,TransSuite,,SA2,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
623,DON MILLS RD,,BARBER GREENE RD,GREEN BELT DR,,,4709500,13453783,317605.23,4842868.25,43.7276374,-79.340813,00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
624,DON MILLS RD,,THE DONWAY E,THE DONWAY W,,NORTH INTERSECTION,4709528,13451688,317312.65,4844332.75,43.74085,-79.344418,00:00.0,SCOOT,,SA2,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
625,DON MILLS RD,,THE DONWAY E,THE DONWAY W,,SOUTH INTERSECTION,10180209,13453034,317503.47,4843375.29,43.732251,-79.342103,00:00.0,SCOOT,,SA2,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
626,DON MILLS RD,,YORK MILLS RD,,,,441121,13449368,317101.17,4845995.25,43.7557927,-79.347046,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
627,SHEPPARD AVE E,,DON MILLS RD,,,,438319,13446608,317097.61,4848138.88,43.7750865,-79.34703,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
628,DON MILLS RD,,VAN HORNE AVE,,,,437228,13445096,316613.12,4849497.61,43.7873456,-79.353004,00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
629,DON MILLS RD,,ESTERBROOKE AVE,FAIRVIEW MALL DR,,,438011,13446105,316960.23,4848580.62,43.7791002,-79.348727,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
630,WILSON AVE,,WILSON HEIGHTS BLVD,TIPPET RD,,,443269,13452897,309031.38,4843627.09,43.7345828,-79.4472,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
631,SHEPPARD AVE W,,WILSON HEIGHTS BLVD,,,,11335703,13450231,308267.27,4845523.95,43.7516592,-79.456729,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
632,WILSON HEIGHTS BLVD,,WATERLOO AVE,,,,440657,13449671,308013.482,4845930.803,43.7553365,-79.45992,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
633,KEELE ST,,GRANDRAVINE DR,,,,6238248,13450242,305736.69,4845563.241,43.7520138,-79.488128,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
634,DON MILLS RD,,DUNCAN MILL RD,GRAYDON HALL DR,,,439879,13448536,317085.12,4846655.15,43.7617546,-79.347221,00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
635,LAWRENCE AVE W,,PINE ST,,,,7483,13458101,304112.741,4840003.485,43.7019656,-79.508309,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
636,THE QUEENSWAY,,ST LAWRENCE AVE,PRIVATE ACCESS,,,9879676,13469719,303243.11,4831189.91,43.6226531,-79.519097,00:00.0,SCOOT,,SA2,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
637,WESTON RD,,BRADSTOCK RD,PRIVATE ACCESS,WOODVIEW PARK PLAZA,,442930,13452395,301606.254,4844115.926,43.7389792,-79.5394628,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
638,EGLINTON AVE E,,MASON RD,,,,110559,13451254,326921.001,4844463,43.7417938,-79.225156,00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
639,YONGE ST,,401 C W YONGE ST S RAMP,,,HWY 401 NORTH INTERSECTION,440766,13449637,312123.95,4845879.88,43.75484,-79.40884,00:00.0,SCOOT,,SAV,N/A,0,,,,3
640,DUNDAS ST W,,SORAUREN AVE,,,,10759093,13466677,309194.79,4834363.73,43.6511963,-79.445285,00:00.0,Awaiting TransSuite Control,,SAP on Recall,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,3
641,ST CLAIR AVE E,,HERRON AVE,PRIVATE ACCESS,PROVIDENCE CENTRE,,112262,13456152,322022.7364,4841018.885,43.7109681,-79.28593,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
642,DONLANDS AVE,,MILLWOOD RD,PAPE AVE,,,3232748,13458477,316934.062,4839483.84,43.69721,-79.34914,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
643,BAYVIEW AVE,,POST RD,,,,442900,13452469,314296.84,4843835,43.7364307,-79.381904,00:00.0,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
644,BAYVIEW AVE,,YORK MILLS RD,,,,11763744,13450611,314114.01,4845129.2,43.7480641,-79.384143,00:00.0,SCOOT,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",1,,1,,4
645,BAYVIEW AVE,,FIFE RD,FIFESHIRE RD,,,440731,13449593,314002.37,4845880.02,43.7548163,-79.385527,00:00.0,SCOOT,,SA2,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
646,BAYVIEW AVE,,401 C E BAYVIEW RAMP,,,HWY 401 SOUTH INTERSECTION,439830,13448602,313895.37,4846660.14,43.7619212,-79.386856,00:00.0,SCOOT,,SAV,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
647,BAYVIEW AVE,,401 C W BAYVIEW RAMP,,,HWY 401 NORTH INTERSECTION,439519,13448236,313843.02,4846956.99,43.764483,-79.387379,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
648,SHEPPARD AVE E,,BAYVIEW AVE,,,,5266155,13447964,313797.12,4847187.3,43.7666244,-79.388044,00:00.0,SCOOT,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
649,BAYVIEW AVE,,CITATION DR,EMPRESS AVE,,,438403,13446795,313656.88,4848047.45,43.7743467,-79.389797,00:00.0,SCOOT,,SA2,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
650,BAYVIEW AVE,,FINCH AVE E,,,,437495,13445452,313465.09,4849232.87,43.7849891,-79.392235,00:00.0,SCOOT,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
651,BAYVIEW AVE,,CUMMER AVE,,,,11485139,13444532,313347.46,4850042.87,43.7923392,-79.393624,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
652,STEELES AVE E,,BAYVIEW AVE,,,,436346,13443242,313134.01,4851261.61,43.8032514,-79.396314,00:00.0,SCOOT,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
653,BAYVIEW AVE,,RUDDINGTON DR,PRIVATE ACCESS,,,9531471,13445078,313416.51,4849568.09,43.7880388,-79.392735,00:00.0,SCOOT,,SA2,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
654,DAWES RD,,SECORD AVE,,,,8133352,13459032,321129.63,4839085.94,43.693593,-79.29727,00:00.0,MTSS,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
655,DAWES RD,,GOWER ST,,,,10365073,13457585,321151.2709,4840054.179,43.7022923,-79.296947,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
656,LUMSDEN AVE,,MAIN ST,,,,1454,13458804,320521.3729,4839227.95,43.6948671,-79.304747,00:00.0,TransSuite,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
657,COXWELL AVE,,SAMMON AVE,,,,6208975,13459980,318822.86,4838551.83,43.68882,-79.325838,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
658,GREENWOOD AVE,,SAMMON AVE,,,,10924071,13460348,318112.943,4838339.833,43.6868912,-79.334692,00:00.0,TransSuite,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
659,DONLANDS AVE,,SAMMON AVE,,,,1835,13460561,317721.52,4838223.14,43.685836,-79.339519,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
660,WOODBINE AVE,,LUMSDEN AVE,MORTIMER AVE,,,4257371,13459236,319628.25,4839000.61,43.6927726,-79.315855,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
661,COXWELL AVE,,MORTIMER AVE,,,,1600,13459689,318764.73,4838752.35,43.6905966,-79.326553,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
662,GREENWOOD AVE,,MORTIMER AVE,,,,1697,13460029,318045.25,4838536.82,43.6886426,-79.335443,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
663,DONLANDS AVE,,MORTIMER AVE,,,,10410694,13460235,317662.16,4838421.74,43.6876049,-79.340228,00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
664,MORTIMER AVE,,PAPE AVE,,,,1846,13460600,317083.7737,4838214.579,43.685721,-79.3476386,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
665,WOODBINE AVE,,COSBURN AVE,,,,1069,13458538,319500.28,4839404.64,43.6964341,-79.31742,00:00.0,TransSuite,,SAP,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
666,COXWELL AVE,,COSBURN AVE,,,,7848308,13459010,318647.505,4839146.449,43.6941379,-79.328003,00:00.0,TransSuite,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
667,COSBURN AVE,,GREENWOOD AVE,,,,1482,13459436,317862.354,4838910.645,43.6920347,-79.337723,00:00.0,TransSuite,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
668,DONLANDS AVE,,COSBURN AVE,,,,1546,13459601,317546.07,4838814.96,43.6911338,-79.34167,00:00.0,TransSuite,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
669,PAPE AVE,,COSBURN AVE,,,,1712,13459931,316972.04,4838620.58,43.6893922,-79.34881,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
670,BATHURST ST,,INVERMAY AVE,,,,9234660,13451793,310017.46,4844396.24,43.7414973,-79.43502,00:00.0,MTSS,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,3
671,BATHURST ST,,YORK DOWNS DR,,,,9234532,13450847,309900.37,4845034.47,43.7472416,-79.436456,00:00.0,MTSS,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,4
672,BATHURST ST,,SHEPPARD AVE W,,,,440599,13449607,309738.22,4845946.5,43.7554527,-79.438452,00:00.0,TransSuite,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
673,BATHURST ST,335m SOUTH OF,ELLERSLIE AVE,PRIVATE ACCESS,Y.M.H.A. ENTRANCE,,30007983,0,309598.067,4846728.833,43.7624442,-79.440171,00:00.0,MTSS,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,3
674,BATHURST ST,,HORSHAM AVE,BLUE FLAG GT,,,439146,13447770,309477.88,4847403,43.7686039,-79.441657,00:00.0,MTSS,,SA2,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,1,,,4
675,BATHURST ST,,FINCH AVE W,,,,11129605,13446970,309372.28,4847990.5,43.7738567,-79.442978,00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
676,BATHURST ST,,DREWRY AVE,ANTIBES DR,,,437872,13446031,309224.75,4848788,43.7810687,-79.44481,00:00.0,MTSS,,SAP on Recall,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
677,BATHURST ST,,ROCKFORD RD,DEWLANE DR,,,437552,13445431,309126.28,4849330,43.785938,-79.446008,00:00.0,MTSS,,SA2,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,1,,,4
678,STEELES AVE W,,BATHURST ST,,,,10335347,13444609,309149.81,4850051,43.79245,-79.445714,00:00.0,MTSS,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
679,OVERLEA BLVD,,THORNCLIFFE PARK DR,,,EAST INTERSECTION,649,13456854,317386.541,4840625.555,43.707478,-79.343608,00:00.0,TransSuite,,SA2,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
680,OVERLEA BLVD,,THORNCLIFFE PARK DR,,,WEST INTERSECTION,649,13457237,316883.385,4840350.723,43.705011,-79.349824,00:00.0,TransSuite,,SAP,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
681,LAIRD DR,,MCRAE DR,WICKSTEED AVE,,,8677049,13456424,315782.282,4840943.501,43.710376,-79.363498,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
682,LAIRD DR,,MILLWOOD RD,,,,3244804,13457594,316022.78,4840141.96,43.703231,-79.360591,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
683,MILLWOOD RD,,MCRAE DR,,,,681,13457319,315412.329,4840323.504,43.704803,-79.368108,00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
684,MILLWOOD RD,,SUTHERLAND DR,,,,851,13457532,315713.994,4840189.527,43.7035751,-79.3643727,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
685,SOUTHVALE DR,,MILLWOOD RD,PRIVATE ACCESS,LEASIDE MEMORIAL GARDENS,,841,13457710,315940.924,4840065.906,43.702467,-79.361576,00:00.0,TransSuite,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
686,MILLWOOD RD,,VILLAGE STATION RD,REDWAY RD,,VILLAGE STATION,821,13457798,316220.35,4840002.74,43.7019,-79.35809,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
687,MILLWOOD RD,,OVERLEA BLVD,,,,870,13457776,316644.94,4840007.06,43.70196,-79.35288,00:00.0,TransSuite,,FXT,"1.2 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,3
688,PHARMACY AVE,,SURREY AVE,,,,110963,13452130,320710.758,4843959.002,43.7374184,-79.3022695,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
689,WARDEN AVE,,FIRVALLEY CRT,,,,112634,13457277,322716.114,4840215.319,43.70369,-79.27748,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
690,WARDEN AVE,,COMSTOCK RD,,,,14074097,13454488,322107.789,4842197.993,43.7215184,-79.2850107,00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),0,,1,,4
691,MIDLAND AVE,,PROGRESS AVE,,,,108009,13446743,323059.611,4847914.615,43.77298,-79.27297,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
692,KENNEDY RD,,PROGRESS AVE,GLAMORGAN AVE,,,7204415,13447299,322314.31,4847518.86,43.76943,-79.28226,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
693,ELLESMERE RD,,PHARMACY AVE,,,,12102593,13448838,320068.184,4846358.979,43.7590889,-79.3102192,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
694,WARDEN AVE,,ELLESMERE RD,,,,6516122,13448519,320827.5611,4846601,43.76127,-79.30072,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
